,name,proximal_neighborhood,map_neighborhood,lat,lng,distance,neighborhood,categories,address,labeledLatLngs,postalCode,cc,city,state,country,formattedAddress,crossStreet,id
4,Rhumba Night Club,,,40.847497,-73.90146999999999,2860,Riverdale,Nightclub,396 E Tremont Ave,"[{'label': 'display', 'lat': 40.847497, 'lng': -73.90146999999999}, {'label': 'entrance', 'lat': 40.847626, 'lng': -73.901387}]",10457,US,Bronx,NY,United States,"['396 E Tremont Ave', 'Bronx, NY 10457', 'United States']",,
5,Xpressions Night Club,,,40.87916325424417,-73.84338110156192,3684,Kingsbridge,Bar,3601 Boston Rd,"[{'label': 'display', 'lat': 40.87916325424417, 'lng': -73.84338110156192}]",10466,US,Bronx,NY,United States,"['3601 Boston Rd (at 222nd)', 'Bronx, NY 10466', 'United States']",at 222nd,
0,Luna Night Club & Lounge,,,40.846210181854474,-73.90124081292899,1311,Wakefield,Nightclub,1834 Webster Ave,"[{'label': 'display', 'lat': 40.846210181854474, 'lng': -73.90124081292899}]",10457,US,Bronx,NY,United States,"['1834 Webster Ave', 'Bronx, NY 10457', 'United States']",,
1,Tantra Nightclub & Lounge,,,40.868988244852254,-73.91725842509227,1584,Co-op City,Nightclub,10th Ave & 4th St SW,"[{'label': 'display', 'lat': 40.868988244852254, 'lng': -73.91725842509227}]",,US,Calgary,NY,United States,"['10th Ave & 4th St SW', 'Calgary, NY', 'United States']",,
2,Tahbu Night Club,,,40.86130513100488,-73.91314201419885,662,Eastchester,Nightclub,,"[{'label': 'display', 'lat': 40.86130513100488, 'lng': -73.91314201419885}]",10468,US,Bronx,NY,United States,"['Bronx, NY 10468', 'United States']",,
3,Rhumba Night Club,,,40.847497,-73.90146999999999,1186,Fieldston,Nightclub,396 E Tremont Ave,"[{'label': 'display', 'lat': 40.847497, 'lng': -73.90146999999999}, {'label': 'entrance', 'lat': 40.847626, 'lng': -73.901387}]",10457,US,Bronx,NY,United States,"['396 E Tremont Ave', 'Bronx, NY 10457', 'United States']",,
4,Zoodo night club,,,40.843545,-73.917328,1475,Riverdale,Nightclub,1518 Macombs Rd,"[{'label': 'display', 'lat': 40.843545, 'lng': -73.917328}, {'label': 'entrance', 'lat': 40.843506, 'lng': -73.917436}]",10452,US,Bronx,NY,United States,"['1518 Macombs Rd (172 street)', 'Bronx, NY 10452', 'United States']",172 street,
5,Ballers Night Club,,,40.841407000000004,-73.917259,1695,Kingsbridge,Nightlife Spot,1465 Jerome Ave,"[{'label': 'display', 'lat': 40.841407000000004, 'lng': -73.917259}, {'label': 'entrance', 'lat': 40.841343, 'lng': -73.917102}]",10452,US,Bronx,NY,United States,"['1465 Jerome Ave', 'Bronx, NY 10452', 'United States']",,
6,Le Trou Night Club,,,40.838348,-73.92006,2098,Marble Hill,Lounge,,"[{'label': 'display', 'lat': 40.838348, 'lng': -73.92006}]",,US,,New York,United States,"['New York', 'United States']",,
7,Tropicana Theatere & Lounge,,,40.83740441148761,-73.87792219453874,3412,Woodlawn,Lounge,1060 Home St,"[{'label': 'display', 'lat': 40.83740441148761, 'lng': -73.87792219453874}]",10459,US,Bronx,NY,United States,"['1060 Home St (Westchester Ave)', 'Bronx, NY 10459', 'United States']",Westchester Ave,
